MD,DEVI,DTCO,DTSM_FAST,DTSM_SLOW,RHOB_model,GR_Normalized
ft , dega, us/ft , us/ft , us/ft , g/cc ,None
Measured Depth ,Borehole Deviation ,Compressional Slowness ,Fast Shear Slowness ,Slow Shear Slowness ,Bulk density - modeled ,Normalized Gamma Ray  
6500,60.20576,68.32949,108.9639,129.2697,2.426121,0.22585477
6500.5,60.23277,68.18207,108.0103,129.6631,2.419765,0.22101098
6501,60.25978,68.36835,108.0893,129.801,2.417474,0.231825
6501.5,60.28679,68.68739,108.6806,129.4108,2.419322,0.24016184
6502,60.3138,68.90642,108.9737,128.193,2.423742,0.2401517
6502.5,60.34082,68.79682,108.4378,125.9683,2.4308,0.24058612
6503,60.36784,68.13854,107.1534,123.29,2.441443,0.23785199
6503.5,60.39486,66.95869,105.811,121.616,2.453565,0.24073856
6504,60.42188,65.68739,105.4494,122.0732,2.464298,0.23132335
6504.5,60.44891,64.76438,106.8584,124.2038,2.475791,0.22716413
6505,60.47594,64.11552,109.6445,126.3911,2.491657,0.22234558
6505.5,60.50297,63.27934,112.0031,127.1642,2.511142,0.21498048
6506,60.53,62.05438,111.9977,126.1454,2.529038,0.20401604
6506.5,60.5825,60.82578,109.2189,124.1752,2.537263,0.19423135
6507,60.63501,60.25799,105.1729,122.2383,2.530033,0.1809501
6507.5,60.68754,60.70792,101.8772,120.6693,2.510112,0.17121266
6508,60.74007,61.93098,100.2358,119.6412,2.486536,0.16307604
6508.5,60.79261,63.34491,99.94904,119.3615,2.466578,0.16967028
6509,60.84517,64.50258,100.4798,119.715,2.453739,0.17808126
6509.5,60.89773,65.26527,101.941,120.4137,2.451956,0.18253481
6510,60.95031,65.63789,104.6876,121.2622,2.463286,0.1891983
6510.5,61.00289,65.56044,108.0839,122.057,2.482315,0.1953524
6511,61.05549,64.9405,110.5452,122.4413,2.501456,0.20019874
6511.5,61.10809,63.87109,110.7324,122.0305,2.516055,0.20046373
6512,61.16071,62.66481,108.6595,120.7874,2.52417,0.19154577
6512.5,61.21333,61.62645,105.8432,119.204,2.527677,0.1856834
6513,61.26597,60.88905,104.079,117.9951,2.531628,0.17829931
6513.5,61.31861,60.46556,103.8947,117.6144,2.537405,0.18078122
6514,61.37127,60.32317,104.4358,118.0002,2.540736,0.18299946
6514.5,61.42393,60.38602,104.7958,118.6096,2.539607,0.1813188
6515,61.47661,60.56412,104.6563,118.7655,2.535998,0.17802502
6515.5,61.5293,60.80804,103.9284,118.3309,2.530469,0.17736578
6516,61.58199,61.08232,102.7139,117.9262,2.521367,0.17853403
6516.5,61.6347,61.29023,101.497,118.0618,2.510414,0.18186736
6517,61.68741,61.36278,100.7922,118.3972,2.503347,0.18369621
6517.5,61.74014,61.42766,100.7851,118.3017,2.50284,0.18455991
6518,61.79287,61.69785,101.5516,117.8099,2.506528,0.18249634
6518.5,61.84561,62.14855,103.0273,117.6737,2.510847,0.17395324
6519,61.89837,62.4907,104.5916,118.4754,2.512825,0.17293914
6519.5,61.95113,62.5896,105.4173,119.7864,2.511189,0.17024058
6520,62.0039,62.71411,105.2061,120.4396,2.505819,0.17106417
6520.5,62.05669,63.17858,104.432,119.9232,2.497448,0.16989577
6521,62.10948,63.94065,103.9588,119.0554,2.488723,0.17313817
6521.5,62.16228,64.76546,104.3453,118.866,2.482072,0.17984878
6522,62.21509,65.60574,105.4352,119.4515,2.476581,0.17951114
6522.5,62.26791,66.51143,106.4782,120.2704,2.469127,0.17284296
6523,62.32074,67.22307,106.8559,120.9883,2.46022,0.16867152
6523.5,62.37358,67.24797,106.7769,121.7697,2.455953,0.16371271
6524,62.42643,66.39825,106.8062,122.8373,2.461436,0.15928599
6524.5,62.47929,65.11484,106.9411,123.8697,2.473371,0.15988122
6525,62.53215,64.13101,106.7546,124.1047,2.483306,0.16930923
6525.5,62.58503,63.78773,106.1189,123.1347,2.487439,0.1813927
6526,62.63792,63.85963,105.3357,121.4639,2.488381,0.18715885
6526.5,62.69081,63.958,104.7444,120.1089,2.489058,0.18791682
6527,62.74371,63.93581,104.4339,119.6279,2.489387,0.20008844
6527.5,62.79663,63.8899,104.333,119.7739,2.488685,0.19876495
6528,62.84955,63.87334,104.3388,120.0467,2.487773,0.20881669
6528.5,62.90248,63.78933,104.3028,120.1728,2.488047,0.19543953
6529,62.95542,63.55086,104.1165,120.1121,2.490056,0.1926796
6529.5,63.00837,63.20789,103.7955,120.0013,2.492731,0.18006437
6530,63.06133,62.90539,103.4343,120.0638,2.493947,0.18668166
6530.5,63.1143,62.75196,103.1754,120.429,2.492706,0.19113888
6531,63.16727,62.75376,103.1339,121.0721,2.489771,0.19408096
6531.5,63.22026,62.85073,103.2687,121.781,2.486526,0.19279337
6532,63.27325,62.98392,103.4184,122.2423,2.48393,0.1906326
6532.5,63.32626,63.12529,103.5157,122.3468,2.482326,0.18989564
6533,63.37927,63.26925,103.6471,122.3128,2.481481,0.17700393
6533.5,63.43229,63.42169,103.8015,122.3879,2.480244,0.16911466
6534,63.48532,63.60087,103.8683,122.512,2.477887,0.16649689
6534.5,63.53836,63.81062,103.8144,122.4485,2.4751,0.17563114
6535,63.59141,63.98772,103.6093,122.1924,2.472503,0.17806666
6535.5,63.64446,64.05089,103.2264,122.0255,2.469749,0.18339306
6536,63.69753,64.02208,102.7852,122.1435,2.466508,0.1788307
6536.5,63.7506,63.98774,102.6235,122.3651,2.464855,0.18995467
6537,63.80368,63.96357,103.0383,122.3524,2.468177,0.18501213
6537.5,63.85677,63.86704,103.8211,122.0102,2.476237,0.18632936
6538,63.90987,63.62916,104.3255,121.5143,2.48462,0.18047138
6538.5,63.96298,63.34599,103.9875,121.1296,2.487571,0.18044342
6539,64.0161,63.22243,102.8877,121.0668,2.482098,0.18007885
6539.5,64.06922,63.31428,101.8899,121.3412,2.472763,0.17876881
6540,64.12235,63.48074,101.7839,121.7663,2.467981,0.18000494
6540.5,64.17549,63.58568,102.4416,122.1901,2.469554,0.18481858
6541,64.22865,63.6076,103.1587,122.6827,2.472264,0.18682308
6541.5,64.2818,63.58954,103.4174,123.2851,2.47182,0.19065529
6542,64.33497,63.56184,103.2082,123.7364,2.468894,0.19678026
6542.5,64.38815,63.52112,102.9072,123.7807,2.467131,0.19929366
6543,64.44132,63.45015,102.803,123.4404,2.468723,0.19838469
6543.5,64.49451,63.32103,102.9109,122.948,2.4732,0.1931085
6544,64.54771,63.12215,103.1541,122.6725,2.478608,0.19036083
6544.5,64.60092,62.92801,103.4245,122.9122,2.48201,0.19146162
6545,64.65414,62.85358,103.5927,123.5872,2.481436,0.18941793
6545.5,64.70737,62.91558,103.5544,124.3081,2.477534,0.20150553
6546,64.7606,63.04715,103.2413,124.7418,2.47194,0.19404073
6546.5,64.81384,63.19729,102.7566,124.8368,2.466135,0.18983024
6547,64.86709,63.34801,102.3848,124.7589,2.46172,0.16972457
6547.5,64.92034,63.48133,102.3102,124.693,2.459629,0.17216904
6548,64.9736,63.54507,102.5027,124.7319,2.460022,0.16223226
