MD,DTCO,DTSM_FAST,DTSM_SLOW,RHOB,GR_Normalized
ft,US/F,US/F,US/F,G/C3,None
   5550.0,71.1071,-999.25,-999.25,2.7796,-999.0
   5550.5,71.1071,-999.25,-999.25,2.7587,-999.0
   5551.0,71.1071,-999.25,-999.25,2.7414,-999.0
   5551.5,71.1071,-999.25,-999.25,2.7315,-999.0
   5552.0,71.1071,-999.25,-999.25,2.737,-999.0
   5552.5,71.1071,-999.25,-999.25,2.7418,-999.0
   5553.0,71.1071,-999.25,-999.25,2.74,-999.0
   5553.5,71.0769,-999.25,-999.25,2.7287,-999.0
   5554.0,70.9336,-999.25,-999.25,2.7237,-999.0
   5554.5,70.8748,-999.25,-999.25,2.7229,-999.0
   5555.0,70.8748,-999.25,-999.25,2.7224,-999.0
   5555.5,70.9734,-999.25,-999.25,2.7201,-999.0
   5556.0,71.5219,-999.25,-999.25,2.7165,-999.0
   5556.5,72.0051,-999.25,-999.25,2.7158,-999.0
   5557.0,72.261,-999.25,-999.25,2.7256,-999.0
   5557.5,72.261,-999.25,-999.25,2.7348,-999.0
   5558.0,71.7466,-999.25,-999.25,2.7374,-999.0
   5558.5,70.831,-999.25,-999.25,2.7421,-999.0
   5559.0,70.2775,-999.25,-999.25,2.7506,-999.0
   5559.5,69.3633,-999.25,-999.25,2.7675,-999.0
   5560.0,68.6521,-999.25,-999.25,2.7644,-999.0
   5560.5,68.1268,-999.25,-999.25,2.7565,-999.0
   5561.0,68.1268,-999.25,-999.25,2.755,-999.0
   5561.5,68.1624,-999.25,-999.25,2.7728,-999.0
   5562.0,68.4491,-999.25,-999.25,2.7872,-999.0
   5562.5,68.8915,-999.25,-999.25,2.7833,-999.0
   5563.0,68.9595,-999.25,-999.25,2.7707,-999.0
   5563.5,68.9009,-999.25,-999.25,2.7645,-999.0
   5564.0,68.9009,-999.25,-999.25,2.7709,-999.0
   5564.5,68.7255,-999.25,-999.25,2.7774,-999.0
   5565.0,68.6103,-999.25,-999.25,2.7699,-999.0
   5565.5,68.8294,-999.25,-999.25,2.7619,-999.0
   5566.0,68.5834,-999.25,-999.25,2.752,-999.0
   5566.5,68.3005,-999.25,-999.25,2.7438,-999.0
   5567.0,68.0825,-999.25,-999.25,2.7354,-999.0
   5567.5,68.4053,-999.25,-999.25,2.7316,-999.0
   5568.0,68.5169,-999.25,-999.25,2.7331,-999.0
   5568.5,69.4823,-999.25,-999.25,2.7287,-999.0
   5569.0,70.3536,-999.25,-999.25,2.7274,-999.0
   5569.5,70.6951,-999.25,-999.25,2.7339,-999.0
   5570.0,70.6951,146.0509,146.0509,2.7453,0.36505452
   5570.5,69.9683,144.6412,144.6412,2.7564,0.3609722
   5571.0,69.1822,142.976,142.976,2.7638,0.358626
   5571.5,69.1822,142.0728,142.0728,2.7707,0.35700572
   5572.0,69.2904,142.4388,142.4388,2.7625,0.3540069
   5572.5,70.1846,143.5722,143.5722,2.7547,0.3530399
   5573.0,71.1818,144.5872,144.5872,2.7442,0.3571759
   5573.5,72.1791,145.1625,145.1625,2.7622,0.3633816
   5574.0,72.7862,145.5439,145.5439,2.7737,0.3675665
   5574.5,72.9031,145.9079,145.9079,2.7839,0.36581162
   5575.0,73.1496,146.2593,146.2593,2.7658,0.35795337
   5575.5,73.0181,146.5886,146.5886,2.7566,0.35039297
   5576.0,73.0181,146.8696,146.8696,2.7437,0.34928787
   5576.5,72.906,147.0885,147.0885,2.7393,0.35227802
   5577.0,73.0263,147.2469,147.2469,2.7426,0.35467392
   5577.5,73.1767,147.3522,147.3522,2.7452,0.35589796
   5578.0,73.783,147.4221,147.4221,2.7477,0.35947672
   5578.5,73.918,147.4785,147.4785,2.7447,0.3658549
   5579.0,74.1026,147.5328,147.5328,2.747,0.36909565
   5579.5,74.0397,147.5733,147.5733,2.752,0.36881506
   5580.0,74.0397,147.5601,147.5601,2.7445,0.36815304
   5580.5,74.1274,147.4511,147.4511,2.7282,0.36709994
   5581.0,74.4533,147.2346,147.2346,2.7125,0.36949274
   5581.5,74.6831,146.7253,146.7253,2.7119,0.3770995
   5582.0,74.7232,145.6938,145.6938,2.7252,0.38480696
   5582.5,74.3882,144.3749,144.3749,2.7335,0.38456985
   5583.0,73.8691,143.2224,143.2224,2.7339,0.37612858
   5583.5,73.2333,142.4929,142.4929,2.7364,0.36937562
   5584.0,72.9187,142.2538,142.2538,2.7382,0.36788327
   5584.5,72.9491,142.4091,142.4091,2.7451,0.36746997
   5585.0,73.1259,142.7485,142.7485,2.748,0.36576983
   5585.5,73.4166,143.0136,143.0136,2.7522,0.3644896
   5586.0,73.6018,143.0245,143.0245,2.7516,0.3641886
   5586.5,73.5624,142.836,142.836,2.7498,0.363428
   5587.0,73.4931,142.7089,142.7089,2.7503,0.3618872
   5587.5,73.3211,142.8597,142.8597,2.7408,0.36013004
   5588.0,73.3051,143.4398,143.4398,2.7341,0.36030352
   5588.5,73.1109,144.3583,144.3583,2.732,0.3647467
   5589.0,72.8555,144.9722,144.9722,2.7406,0.3683741
   5589.5,72.3539,144.6941,144.6941,2.7399,0.36297435
   5590.0,71.7921,143.4578,143.4578,2.7321,0.35007972
   5590.5,71.3019,141.7057,141.7057,2.7269,0.34204197
   5591.0,71.3278,140.2627,140.2627,2.7301,0.3459379
   5591.5,71.5556,139.6579,139.6579,2.733,0.35311663
   5592.0,71.6686,139.7213,139.7213,2.745,0.35638425
   5592.5,71.595,140.0448,140.0448,2.7505,0.35630354
   5593.0,71.2562,140.402,140.402,2.7605,0.35446113
   5593.5,71.0626,140.6153,140.6153,2.7573,0.34981263
   5594.0,71.0129,140.6946,140.6946,2.752,0.3419396
   5594.5,71.1193,140.8455,140.8455,2.7431,0.33637887
   5595.0,71.441,141.1903,141.1903,2.7372,0.33645937
   5595.5,71.9804,141.7708,141.7708,2.7365,0.34176284
   5596.0,72.6014,142.5771,142.5771,2.7439,0.3474132
   5596.5,73.0324,143.5364,143.5364,2.7329,0.34924877
   5597.0,73.4263,144.4606,144.4606,2.721,0.35231358
   5597.5,73.7702,145.1373,145.1373,2.7043,0.3585524
   5598.0,74.0102,145.3073,145.3073,2.7109,0.3642945
   5598.5,74.1416,144.8015,144.8015,2.7197,0.3659123
   5599.0,74.1764,144.0972,144.0972,2.7332,0.3655275
   5599.5,74.174,143.799,143.799,2.7424,0.3678308
   5600.0,73.9853,143.8323,143.8323,2.7514,0.36908108
   5600.5,73.6997,143.727,143.727,2.7438,0.3679644
   5601.0,73.3342,143.1476,143.1476,2.7428,0.3656781
   5601.5,72.6472,142.354,142.354,2.7452,0.36110365
   5602.0,72.0675,141.83,141.83,2.7546,0.35620412
   5602.5,71.5424,141.5853,141.5853,2.7508,0.3533991
   5603.0,71.5424,141.7015,141.7015,2.7448,0.35174263
   5603.5,71.8143,142.3334,142.3334,2.744,0.34905013
   5604.0,72.4107,143.2048,143.2048,2.7521,0.34706837
   5604.5,72.939,143.8504,143.8504,2.7572,0.3488871
   5605.0,73.3041,143.9527,143.9527,2.7556,0.3515053
   5605.5,73.7266,143.7997,143.7997,2.7466,0.3519109
